date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:03:21	45/45	---MCZ	200	added ('OK')	text/plain	etag:W/%2261ebb2f3-19%22	https://demo.themefisher.com/robots.txt		(from )
01:03:21	53812/53812	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2ec-d234%22	https://demo.themefisher.com/copper/	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/index.html	(from )
01:03:22	160256/160256	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2ec-27200%22	https://demo.themefisher.com/copper/plugins/bootstrap/bootstrap.min.css	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/plugins/bootstrap/bootstrap.min.css	(from https://demo.themefisher.com/copper/)
01:03:22	16435/16435	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2ec-4033%22	https://demo.themefisher.com/copper/plugins/themify-icons/themify-icons.css	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/plugins/themify-icons/themify-icons.css	(from https://demo.themefisher.com/copper/)
01:03:23	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2ec-6f0%22	https://demo.themefisher.com/copper/plugins/slick/slick.css	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/plugins/slick/slick.css	(from https://demo.themefisher.com/copper/)
01:03:23	3145/3145	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2ec-c49%22	https://demo.themefisher.com/copper/plugins/slick/slick-theme.css	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/plugins/slick/slick-theme.css	(from https://demo.themefisher.com/copper/)
01:03:23	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2ec-65c5%22	https://demo.themefisher.com/copper/plugins/aos/aos.css	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/plugins/aos/aos.css	(from https://demo.themefisher.com/copper/)
01:03:23	64526/64526	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2ec-fc0e%22	https://demo.themefisher.com/copper/css/style.css	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/css/style.css	(from https://demo.themefisher.com/copper/)
01:03:24	267/267	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-10b%22	https://demo.themefisher.com/copper/images/favicon.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/favicon.png	(from https://demo.themefisher.com/copper/)
01:03:24	779/779	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-30b%22	https://demo.themefisher.com/copper/images/preloader.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/preloader.png	(from https://demo.themefisher.com/copper/)
01:03:24	53812/53812	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2ec-d234%22	https://demo.themefisher.com/copper/index.html	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/index-2.html	(from https://demo.themefisher.com/copper/)
01:03:24	1917/1917	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-77d%22	https://demo.themefisher.com/copper/images/logo.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/logo.png	(from https://demo.themefisher.com/copper/)
01:03:25	32264/32264	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2ec-7e08%22	https://demo.themefisher.com/copper/about.html	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/about.html	(from https://demo.themefisher.com/copper/)
01:03:25	33533/33533	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2ec-82fd%22	https://demo.themefisher.com/copper/services.html	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/services.html	(from https://demo.themefisher.com/copper/)
01:03:25	32698/32698	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2ec-7fba%22	https://demo.themefisher.com/copper/team.html	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/team.html	(from https://demo.themefisher.com/copper/)
01:03:25	44032/44032	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2ec-ac00%22	https://demo.themefisher.com/copper/pricing.html	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/pricing.html	(from https://demo.themefisher.com/copper/)
