date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:36:10	45/45	---MCZ	200	added ('OK')	text/plain	etag:W/%2261ebb2f3-19%22	https://demo.themefisher.com/robots.txt		(from )
01:36:11	23312/23312	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2e8-5b10%22	https://demo.themefisher.com/agico/	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/index.html	(from )
01:36:11	30973/30973	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2e8-78fd%22	https://demo.themefisher.com/agico/plugins/font-awesome/font-awesome.min.css	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/plugins/font-awesome/font-awesome.min.css	(from https://demo.themefisher.com/agico/)
01:36:11	161409/161409	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2e8-27681%22	https://demo.themefisher.com/agico/plugins/bootstrap/bootstrap.min.css	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/plugins/bootstrap/bootstrap.min.css	(from https://demo.themefisher.com/agico/)
01:36:15	19976/19976	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2e8-4e08%22	https://demo.themefisher.com/agico/plugins/venobox/venobox.css	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/plugins/venobox/venobox.css	(from https://demo.themefisher.com/agico/)
01:36:15	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2e8-6f0%22	https://demo.themefisher.com/agico/plugins/slick/slick.css	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/plugins/slick/slick.css	(from https://demo.themefisher.com/agico/)
01:36:15	101088/101088	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2e8-18ae0%22	https://demo.themefisher.com/agico/plugins/aos/aos.css	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/plugins/aos/aos.css	(from https://demo.themefisher.com/agico/)
01:36:15	28005/28005	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2e8-6d65%22	https://demo.themefisher.com/agico/css/style.css	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/css/style.css	(from https://demo.themefisher.com/agico/)
01:36:15	150/150	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Sep%202022%2019:36:21%20GMT	https://demo.themefisher.com/agico/images/favicon.ico	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/images/favicon.ico	(from https://demo.themefisher.com/agico/)
01:36:16	97432/97432	---M--	200	added ('OK')	image/gif	etag:%2261ebb2e8-17c98%22	https://demo.themefisher.com/agico/images/preloader.gif	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/images/preloader.gif	(from https://demo.themefisher.com/agico/)
01:36:16	23312/23312	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2e8-5b10%22	https://demo.themefisher.com/agico/index.html	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/index-2.html	(from https://demo.themefisher.com/agico/)
01:36:17	3252/3252	---M--	200	added ('OK')	image/png	etag:%2261ebb2e8-cb4%22	https://demo.themefisher.com/agico/images/logo/logo-dark.png	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/images/logo/logo-dark.png	(from https://demo.themefisher.com/agico/)
01:36:17	27631/27631	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2e8-6bef%22	https://demo.themefisher.com/agico/homepage2.html	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/homepage2.html	(from https://demo.themefisher.com/agico/)
01:36:17	23868/23868	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2e8-5d3c%22	https://demo.themefisher.com/agico/homepage3.html	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/homepage3.html	(from https://demo.themefisher.com/agico/)
01:36:18	21821/21821	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2e8-553d%22	https://demo.themefisher.com/agico/about.html	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/about.html	(from https://demo.themefisher.com/agico/)
01:36:18	15268/15268	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2e8-3ba4%22	https://demo.themefisher.com/agico/services.html	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/services.html	(from https://demo.themefisher.com/agico/)
01:36:18	15844/15844	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2e8-3de4%22	https://demo.themefisher.com/agico/team.html	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/team.html	(from https://demo.themefisher.com/agico/)
01:36:19	14619/14619	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2e8-391b%22	https://demo.themefisher.com/agico/pricing.html	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/pricing.html	(from https://demo.themefisher.com/agico/)
01:36:19	17138/17138	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2e8-42f2%22	https://demo.themefisher.com/agico/career.html	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/career.html	(from https://demo.themefisher.com/agico/)
01:36:19	17893/17893	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2e8-45e5%22	https://demo.themefisher.com/agico/blog.html	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/blog.html	(from https://demo.themefisher.com/agico/)
01:36:19	12350/12350	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2e8-303e%22	https://demo.themefisher.com/agico/contact.html	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/contact.html	(from https://demo.themefisher.com/agico/)
01:36:20	5239/5239	---M--	200	added ('OK')	image/png	etag:%2261ebb2e8-1477%22	https://demo.themefisher.com/agico/images/icon/google-play-white.png	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/images/icon/google-play-white.png	(from https://demo.themefisher.com/agico/)
01:36:21	112925/112925	---M--	200	added ('OK')	image/png	etag:%2261ebb2e8-1b91d%22	https://demo.themefisher.com/agico/images/banner/banner-3.png	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/images/banner/banner-3.png	(from https://demo.themefisher.com/agico/)
01:37:49	63268/63268	---M--	200	added ('OK')	image/png	etag:%2261ebb2e8-f724%22	https://demo.themefisher.com/agico/images/homepage-3/banner-shape.png	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/images/homepage-3/banner-shape.png	(from https://demo.themefisher.com/agico/)
01:37:50	12346/12346	---M--	200	added ('OK')	image/png	etag:%2261ebb2e8-303a%22	https://demo.themefisher.com/agico/images/dot/dot-1.png	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/images/dot/dot-1.png	(from https://demo.themefisher.com/agico/)
01:37:50	46883/46883	---M--	200	added ('OK')	image/png	etag:%2261ebb2e8-b723%22	https://demo.themefisher.com/agico/images/shape/shape-bg.png	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/images/shape/shape-bg.png	(from https://demo.themefisher.com/agico/)
01:37:52	117577/117577	---M--	200	added ('OK')	image/png	etag:%2261ebb2e8-1cb49%22	https://demo.themefisher.com/agico/images/integration/integration-2.png	F:/My%20Web%20Sites/Agico/demo.themefisher.com/agico/images/integration/integration-2.png	(from https://demo.themefisher.com/agico/)
